sku,brand,product_family
ABDC5434REDZZZZZ00,aurelie_bidermann,Accessories
DIOZZ435BCKME05000,DIOR,Ready to wear
LOEM26ABBRWZZZZZ00,loewe,Jewelry
VER6Q3AUWHTSI37000,versace,Shoes
WHAP66T4BEIWI03600,harris_wharf,Ready to wear
BYRZ53R4ZZZZZZZZ00,byredo,Beauty
LVU93TR8GOLBCT0S00,louis_vuitton,Accessories
DIO9Z7H6BLUSI40000,dior,
BOTJ62G7BCKZZZZZ00,bottega_veneta,Jewelry
LOECJVAFBEIZZZZZ00,loewe,Jewelry
LOEE3CP2BCKZZZZZ00,loewe,Accessories
CELTEY3VBURWF03600,celine,Ready to wear
RIM56U5WGRYZZZZZ00,rimowa,Bags
RIM5D26GGRYZZZZZ00,rimowa,Bags
CELDA57FBCKZZZZZ00,celine,
GIV7X7A9BRWZZZZZ00,givenchy,Jewelry
CTCJ7379BEIZZZZZ00,Chantecaille,Beauty
CTCJ7379BEIZZZZZ01,chantecaille,Beauty
OFF84CJDWHTZZZZZ00,off_white,Accessories
GIV7X7A9BEIZZZZZ00,givenchy,Jewelry
LOEXPMH2REDZZZZZ00,loewe,
LJH2W32NZZZZZZZZ00,lola_james_harper,Beauty
LOE7HZEVBEIZZZZZ00,loewe,Accessories
CHLAX55QPINZZZZZ00,chloe,Bags
FEU2UJ5BBCKZZZZZ00,le_feuillet,Bags