year,month,status_label,CA
2024,12,paid,23685.3455
2024,12,delivered,6609.5715
2024,11,paid,21585.0395
2024,11,delivered,7295.7325
2024,10,paid,33554.167
2024,10,delivered,8939.5635
2024,9,paid,25394.064000000009
2024,9,delivered,4607.326
2024,8,paid,16935.702
2024,8,delivered,5218.6720000000005
2024,7,paid,23376.481999999996
2025,7,paid,4972.9164999999994
2024,7,delivered,2233.498
2025,7,delivered,2959.3775
2025,6,paid,14680.784
2025,6,delivered,4612.915
2025,5,paid,167989.37999999992
2025,5,delivered,4020.71
2025,4,paid,20248.960500000005
2025,4,delivered,4737.0649999999987
2025,3,paid,13953.875000000002
2025,3,delivered,2203.1225
2025,2,paid,10209.035499999998
2025,2,delivered,2694.7875
2025,1,paid,10659.8765
2025,1,delivered,3497.7